,972
0,978
1,979
2,980
3,980
4,981
5,981
6,982
7,983
8,984
9,984
10,985
11,985
12,986
13,986
14,987
15,988
16,988
17,989
18,989
19,990
20,990
21,991
22,991
23,992
24,992
25,992
26,993
27,993
28,993
29,994
30,994
31,994
32,995
33,995
34,995
35,996
36,996
37,997
38,1000
39,1001
40,1003
41,1004
42,1004
43,1004
44,1005
45,1005
46,1006
47,1007
48,1010
49,1011
50,1012
51,1013
52,1015
53,1015
54,1016
55,1017
56,1017
57,1018
58,1019
59,1020
60,1020
61,1021
62,1022
63,1022
64,1023
65,1026
66,1026
67,1027
68,1028
69,1028
70,1029
71,1029
72,1030
73,1031
74,1032
75,1033
76,1034
77,1034
78,1035
79,1035
80,1036
81,1036
82,1037
83,1038
84,1041
85,1043
86,1045
87,1045
88,1050
89,1054
90,1055
91,1055
92,1056
93,1056
94,1057
95,1060
96,1060
97,1063
98,1067
99,1068
100,1068
101,1069
102,1070
103,1071
104,1073
105,1074
106,1076
107,1077
108,1079
109,1080
110,1081
111,1086
112,1092
113,1094
114,1097
115,1098
116,1100
117,1101
118,1102
119,1108
120,1119
121,1120
122,1121
123,1121
124,1122
125,1122
126,1123
127,1123
128,1129
129,1129
130,1130
131,1130
132,1130
133,1134
134,1136
135,1138
136,1144
137,1145
138,1151
139,1152
140,1154
141,1155
142,1162
143,1163
144,1170
145,1171
146,1173
147,1178
148,1178
149,1179
150,1179
151,1183
152,1184
153,1184
154,1185
155,1191
156,1192
157,1199
158,1201
159,1207
160,1208
161,1215
162,1216
163,1216
164,1217
165,1218
166,1226
167,1232
168,1233
169,1233
170,1241
171,1241
172,1246
173,1246
174,1247
175,1247
176,1253
177,1254
178,1262
179,1263
180,1272
181,1273
182,1273
183,1284
184,1285
185,1285
186,1285
187,1285
188,1285
189,1286
190,1286
191,1287
192,1294
193,1301
194,1302
195,1307
196,1317
197,1317
198,1318
199,1319
200,1320
201,1329
202,1329
203,1330
204,1330
205,1330
206,1331
207,1331
208,1343
209,1346
210,1360
211,1361
212,1361
213,1362
214,1362
215,1377
216,1378
217,1379
218,1379
219,1380
220,1381
221,1388
222,1389
223,1389
224,1390
225,1390
226,1398
227,1400
228,1411
229,1421
230,1422
231,1423
232,1424
233,1425
234,1425
235,1426
236,1437
237,1438
238,1439
239,1447
240,1447
241,1448
242,1448
243,1449
244,1449
245,1449
246,1450
247,1459
248,1460
249,1460
250,1461
251,1472
252,1473
253,1474
254,1474
255,1476
256,1486
257,1486
258,1487
259,1487
260,1488
261,1497
262,1497
263,1498
264,1499
265,1508
266,1509
267,1509
268,1510
269,1511
270,1521
271,1521
272,1522
273,1522
274,1522
275,1523
276,1523
277,1523
278,1523
279,1524
280,1524
281,1524
282,1524
283,1525
284,1525
285,1525
286,1525
287,1526
288,1526
289,1527
290,1527
291,1527
292,1527
293,1528
294,1528
295,1528
296,1529
297,1529
298,1529
299,1530
300,1530
301,1531
302,1531
303,1531
304,1531
305,1532
306,1532
307,1532
308,1533
309,1533
310,1533
311,1534
312,1534
313,1534
314,1535
315,1535
316,1536
317,1536
318,1536
319,1537
320,1537
321,1537
322,1537
323,1538
324,1538
325,1538
326,1539
327,1539
328,1540
329,1541
330,1541
331,1541
332,1542
333,1542
334,1542
335,1543
336,1543
337,1543
338,1544
339,1544
340,1544
341,1544
342,1545
343,1545
344,1545
345,1545
346,1546
347,1546
348,1546
349,1546
350,1547
351,1547
352,1547
353,1547
354,1547
355,1548
356,1548
357,1548
358,1549
359,1549
360,1549
361,1549
362,1550
363,1550
364,1551
365,1552
366,1552
367,1553
368,1554
369,1556
370,1558
371,1559
372,1560
373,1560
374,1561
375,1562
376,1563
377,1563
378,1564
379,1564
380,1565
381,1565
382,1566
383,1569
384,1570
385,1571
386,1572
387,1573
388,1574
389,1574
390,1574
391,1575
392,1575
393,1576
394,1576
395,1576
396,1577
397,1577
398,1577
399,1589
400,1590
401,1591
402,1591
403,1592
404,1593
405,1593
406,1594
407,1594
408,1595
409,1595
410,1595
411,1595
412,1596
413,1596
414,1596
415,1597
416,1597
417,1597
418,1598
419,1598
420,1599
421,1599
422,1599
423,1600
424,1600
425,1601
426,1601
427,1601
428,1602
429,1602
430,1603
431,1604
432,1605
433,1605
434,1606
435,1607
436,1608
437,1608
438,1609
439,1609
440,1610
441,1610
442,1610
443,1610
444,1611
445,1611
446,1611
447,1612
448,1612
449,1612
450,1613
451,1613
452,1613
453,1613
454,1614
455,1614
456,1614
457,1615
458,1615
459,1615
460,1616
461,1616
462,1616
463,1617
464,1617
465,1617
466,1618
467,1618
468,1619
469,1619
470,1620
471,1621
472,1622
473,1623
474,1623
475,1624
476,1625
477,1625
478,1625
479,1626
480,1626
481,1627
482,1627
483,1628
484,1628
485,1628
486,1629
487,1629
488,1629
489,1629
490,1630
491,1630
492,1630
493,1631
494,1631
495,1632
496,1632
497,1632
498,1633
499,1633
500,1633
501,1633
502,1634
503,1634
504,1634
505,1634
506,1635
507,1635
508,1635
509,1635
510,1636
511,1636
512,1636
513,1637
514,1638
515,1638
516,1639
517,1639
518,1639
519,1640
520,1640
521,1641
522,1641
523,1642
524,1642
525,1642
526,1643
527,1643
528,1643
529,1643
530,1644
531,1644
532,1644
533,1644
534,1644
535,1645
536,1645
537,1645
538,1645
539,1646
540,1646
541,1646
542,1647
543,1647
544,1647
545,1647
546,1647
547,1648
548,1648
549,1648
550,1648
551,1649
552,1649
553,1649
554,1649
555,1650
556,1650
557,1650
558,1650
559,1650
560,1651
561,1651
562,1651
563,1651
564,1652
565,1652
566,1652
567,1652
568,1653
569,1653
570,1654
571,1654
572,1654
573,1655
574,1655
575,1655
576,1655
577,1665
578,1665
579,1665
580,1666
581,1666
582,1666
583,1666
584,1667
585,1667
586,1667
587,1668
588,1668
589,1668
590,1668
591,1669
592,1669
593,1669
594,1670
595,1671
596,1671
597,1671
598,1672
599,1672
600,1673
601,1673
602,1674
603,1674
604,1675
605,1675
606,1675
607,1675
608,1676
609,1676
610,1676
611,1677
612,1677
613,1677
614,1677
615,1678
616,1678
617,1678
618,1678
619,1679
620,1679
621,1679
622,1679
623,1680
624,1680
625,1680
626,1681
627,1681
628,1681
629,1681
630,1682
631,1682
632,1682
633,1683
634,1683
635,1683
636,1683
637,1683
638,1684
639,1684
640,1684
641,1684
642,1685
643,1685
644,1685
645,1685
646,1686
647,1686
648,1687
649,1687
650,1688
651,1688
652,1688
653,1689
654,1689
655,1690
656,1690
657,1690
658,1691
659,1691
660,1691
661,1692
662,1692
663,1693
664,1693
665,1693
666,1693
667,1693
668,1694
669,1694
670,1694
671,1694
672,1695
673,1695
674,1695
675,1695
676,1696
677,1696
678,1696
679,1696
680,1697
681,1697
682,1697
683,1698
684,1698
685,1698
686,1699
687,1699
688,1699
689,1699
690,1700
691,1700
692,1700
693,1700
694,1701
695,1701
696,1701
697,1702
698,1702
699,1702
700,1702
701,1703
702,1703
703,1703
704,1704
705,1704
706,1705
707,1705
708,1705
709,1705
710,1706
711,1706
712,1706
713,1706
714,1707
715,1707
716,1707
717,1707
718,1707
719,1708
720,1708
721,1708
722,1708
723,1709
724,1709
725,1709
726,1709
727,1710
728,1710
729,1710
730,1710
731,1711
732,1711
733,1711
734,1712
735,1712
736,1712
737,1712
738,1712
739,1712
740,1713
741,1713
742,1713
743,1713
744,1714
745,1714
746,1714
747,1714
748,1715
749,1715
750,1715
751,1715
752,1716
753,1716
754,1716
755,1717
756,1717
757,1717
758,1717
759,1717
760,1718
761,1718
762,1718
763,1718
764,1719
765,1719
766,1719
767,1719
768,1720
769,1720
770,1721
771,1722
772,1723
773,1723
774,1724
775,1724
776,1724
777,1725
778,1725
779,1725
780,1725
781,1726
782,1726
783,1726
784,1727
785,1727
786,1727
787,1727
788,1727
789,1727
790,1728
791,1728
792,1728
793,1728
794,1728
795,1729
796,1729
797,1729
798,1729
799,1729
800,1730
801,1730
802,1730
803,1730
804,1731
805,1731
806,1731
807,1731
808,1731
809,1732
810,1732
811,1732
812,1732
813,1732
814,1733
815,1733
816,1733
817,1733
818,1734
819,1734
820,1734
821,1734
822,1734
823,1735
824,1735
825,1735
826,1735
827,1735
828,1736
829,1736
830,1736
831,1738
832,1739
833,1739
834,1740
835,1740
836,1740
837,1741
838,1741
839,1742
840,1742
841,1742
842,1742
843,1743
844,1743
845,1743
846,1743
847,1743
848,1744
849,1744
850,1744
851,1744
852,1745
853,1745
854,1745
855,1746
856,1746
857,1746
858,1746
859,1746
860,1747
861,1747
862,1747
863,1747
864,1747
865,1748
866,1748
867,1748
868,1748
869,1749
870,1749
871,1749
872,1749
873,1750
874,1750
875,1751
876,1751
877,1751
878,1752
879,1752
880,1752
881,1753
882,1753
883,1754
884,1754
885,1755
886,1755
887,1756
888,1756
889,1757
890,1757
891,1757
892,1758
893,1758
894,1758
895,1759
896,1759
897,1759
898,1760
899,1760
900,1760
901,1761
902,1761
903,1762
904,1762
905,1762
906,1762
907,1763
908,1763
909,1763
910,1764
911,1764
912,1765
913,1765
914,1765
915,1766
916,1766
917,1766
918,1766
919,1767
920,1767
921,1767
922,1767
923,1768
924,1768
925,1768
926,1769
927,1769
928,1769
929,1769
930,1770
931,1770
932,1770
933,1771
934,1771
935,1771
936,1772
937,1772
938,1772
939,1772
940,1773
941,1773
942,1773
943,1774
