,569
0,580
1,581
2,582
3,583
4,584
5,585
6,586
7,587
8,588
9,589
10,590
11,591
12,592
13,593
14,594
15,596
16,598
17,603
18,605
19,606
20,607
21,608
22,609
23,610
24,612
25,614
26,615
27,616
28,617
29,618
30,619
31,620
32,627
33,628
34,631
35,632
36,633
37,634
38,634
39,635
40,636
41,637
42,638
43,639
44,641
45,642
46,643
47,644
48,645
49,646
50,647
51,648
52,648
53,649
54,649
55,649
56,650
57,651
58,652
59,653
60,654
61,655
62,656
63,658
64,660
65,661
66,662
67,663
68,664
69,665
70,666
71,667
72,668
73,669
74,671
75,671
76,672
77,673
78,675
79,676
80,678
81,680
82,681
83,682
84,682
85,683
86,683
87,684
88,685
89,686
90,686
91,688
92,689
93,702
94,707
95,708
96,709
97,710
98,711
99,712
100,712
101,713
102,726
103,727
104,728
105,729
106,731
107,732
108,732
109,733
110,735
111,736
112,742
113,743
114,744
115,745
116,745
117,746
118,754
119,755
120,756
121,756
122,757
123,757
124,757
125,757
126,758
127,758
128,766
129,767
130,769
131,770
132,771
133,771
134,772
135,773
136,774
137,776
138,778
139,780
140,780
141,781
142,782
143,783
144,784
145,785
146,786
147,786
148,786
149,786
150,787
151,787
152,787
153,787
154,787
155,788
156,788
157,788
158,788
159,789
160,791
161,791
162,792
163,792
164,792
165,792
166,792
167,793
168,793
169,793
170,794
171,795
172,796
173,796
174,797
175,798
176,800
177,800
178,801
179,801
180,802
181,802
182,802
183,803
184,803
185,804
186,805
187,805
188,805
189,805
190,806
191,806
192,807
193,807
194,808
195,808
196,809
197,810
198,811
199,812
200,813
201,814
202,815
203,815
204,816
205,816
206,817
207,817
208,820
209,821
210,822
211,823
212,823
213,824
214,825
215,826
216,826
217,827
218,827
219,828
220,828
221,828
222,829
223,829
224,830
225,830
226,830
227,831
228,831
229,831
230,832
231,832
232,833
233,833
234,834
235,838
236,839
237,841
238,842
239,843
240,848
241,850
242,852
243,853
244,854
245,855
246,856
247,857
248,858
249,859
250,860
251,860
252,861
253,861
254,862
255,862
256,864
257,864
258,864
259,864
260,865
261,865
262,865
263,865
264,865
265,865
266,865
267,865
268,865
269,865
270,866
271,866
272,866
273,867
274,867
275,867
276,868
277,868
278,868
279,868
280,869
281,869
282,869
283,869
284,869
285,870
286,870
287,870
288,871
289,871
290,871
291,871
292,871
293,872
294,872
295,872
296,872
297,872
298,872
299,872
300,873
301,873
302,873
303,873
304,874
305,875
306,875
307,876
308,877
309,878
310,879
311,879
312,880
313,880
314,880
315,880
316,881
317,881
318,881
319,881
320,882
321,883
322,883
323,883
324,883
325,884
326,884
327,884
328,884
329,884
330,885
331,885
332,885
333,885
334,885
335,885
336,886
337,886
338,887
339,887
340,887
341,887
342,887
343,888
344,888
345,888
346,888
347,888
348,889
349,889
350,889
351,889
352,890
353,890
354,891
355,891
356,891
357,891
358,892
359,892
360,892
361,892
362,892
363,892
364,892
365,892
366,893
367,893
368,893
369,893
370,893
371,893
372,893
373,893
374,894
375,894
376,894
377,894
378,894
379,894
380,894
381,894
382,895
383,895
384,895
385,895
386,895
387,895
388,895
389,896
390,896
391,896
392,896
393,896
394,896
395,896
396,896
397,896
398,896
399,897
400,897
401,897
402,897
403,897
404,897
405,897
406,898
407,898
408,898
409,898
410,898
411,898
412,898
413,899
414,899
415,899
416,899
417,900
418,900
419,901
420,901
421,901
422,902
423,902
424,902
425,902
426,903
427,903
428,903
429,903
430,903
431,903
432,903
433,904
434,904
435,904
436,904
437,904
438,904
439,904
440,904
441,904
442,905
443,905
444,905
445,905
446,905
447,905
448,905
449,905
450,905
451,905
452,906
453,906
454,906
455,906
456,906
457,906
458,906
459,906
460,906
