,318
0,339
1,340
2,340
3,341
4,344
5,346
6,347
7,349
8,350
9,352
10,354
11,355
12,355
13,356
14,357
15,358
16,360
17,361
18,362
19,364
20,365
21,365
22,365
23,366
24,367
25,368
26,371
27,372
28,373
29,375
30,376
31,377
32,379
33,380
34,381
35,384
36,386
37,388
38,389
39,391
40,393
41,395
42,396
43,397
44,402
45,404
46,405
47,406
48,408
49,409
50,411
51,413
52,415
53,416
54,418
55,419
56,421
57,422
58,423
59,426
60,426
61,427
62,427
63,428
64,428
65,429
66,429
67,432
68,433
69,434
70,435
71,436
72,436
73,436
74,437
75,437
76,437
77,438
78,439
79,440
80,440
81,442
82,444
83,445
84,446
85,447
86,448
87,450
88,452
89,453
90,454
91,455
92,456
93,462
94,464
95,465
96,466
97,468
98,469
99,470
100,471
101,472
102,473
103,475
104,476
105,478
106,479
107,481
108,483
109,484
110,487
111,488
112,489
113,489
114,490
115,516
116,518
117,519
118,520
119,521
120,522
121,523
122,525
123,526
124,528
125,531
126,532
127,534
128,535
129,536
130,537
131,537
132,538
133,538
134,539
135,540
136,541
137,541
138,542
139,543
140,543
141,544
142,546
143,547
144,548
145,550
146,551
147,552
148,552
149,553
150,553
151,554
152,554
153,561
154,565
155,566
156,567
157,568
158,569
159,570
160,571
161,572
162,573
163,575
164,576
165,577
166,577
167,578
168,579
169,580
170,582
171,583
172,583
173,584
174,586
175,587
176,587
177,588
178,589
179,589
180,590
181,590
182,591
183,592
184,596
185,597
186,598
187,598
188,599
189,600
190,600
191,601
192,602
193,603
194,604
195,606
196,607
197,607
198,608
199,609
200,609
201,610
202,610
203,611
204,611
205,612
206,613
207,619
208,621
209,622
210,623
211,624
212,625
213,626
214,627
215,628
216,629
217,630
218,631
219,632
220,640
221,641
222,642
223,643
224,644
225,644
226,645
227,647
228,648
229,649
230,651
231,652
232,653
233,654
234,656
235,657
236,658
237,660
238,662
239,663
240,665
241,666
242,668
243,669
244,670
245,670
246,671
247,676
248,677
249,678
250,678
251,679
252,680
253,681
254,682
255,683
256,683
257,683
258,684
259,685
260,685
261,685
262,686
263,686
264,693
265,694
266,695
267,696
268,696
269,697
270,697
271,698
272,698
273,699
274,704
275,706
276,711
277,713
278,714
279,715
280,715
281,715
282,716
283,717
284,722
285,724
286,725
287,726
288,727
289,727
290,728
291,728
292,729
293,731
294,733
295,737
296,740
297,741
298,742
299,742
300,743
301,743
302,743
303,744
304,744
305,744
306,754
307,756
308,756
309,757
310,757
311,758
312,759
313,759
314,760
315,760
316,766
317,767
318,768
319,775
320,777
321,779
322,780
323,780
324,781
325,781
326,781
327,781
328,782
329,791
330,792
331,792
332,793
333,794
334,794
335,795
336,796
337,796
338,797
339,798
340,798
341,805
342,807
343,808
344,810
345,811
346,813
347,815
348,817
349,818
350,819
351,820
352,822
353,824
354,827
355,829
356,831
357,832
358,832
359,833
360,834
361,834
362,835
363,836
364,837
365,838
366,839
367,839
368,840
369,844
370,845
371,845
372,846
373,848
374,849
375,850
376,851
377,851
378,852
379,853
380,854
381,855
382,855
383,856
384,856
385,857
386,857
387,858
388,859
389,860
390,861
391,861
392,862
393,863
394,865
395,865
396,866
397,866
398,867
399,867
400,867
401,868
402,868
403,869
404,869
405,870
406,870
407,871
408,872
409,873
410,874
411,875
412,876
413,878
414,879
415,880
416,882
417,883
418,884
419,885
420,886
421,886
422,887
423,888
424,888
425,889
426,890
427,890
428,891
429,892
430,893
431,894
432,895
433,896
434,896
435,896
436,897
437,898
438,898
439,899
440,899
441,900
442,901
443,902
444,903
445,905
446,907
447,911
448,912
449,913
450,915
451,923
452,927
453,929
454,931
455,934
456,935
457,935
458,936
459,936
460,936
461,936
462,936
463,956
464,957
465,962
466,964
467,965
468,966
469,971
470,972
471,973
472,974
473,974
474,975
475,982
476,983
477,985
478,986
479,987
480,988
481,989
482,990
483,991
484,992
485,992
486,1000
487,1002
488,1003
489,1004
490,1005
491,1006
492,1007
493,1008
494,1011
495,1012
496,1013
497,1014
498,1015
499,1016
500,1017
501,1024
502,1026
503,1027
504,1028
505,1030
506,1032
507,1034
508,1035
509,1036
510,1037
511,1037
512,1038
513,1046
514,1047
515,1047
516,1048
517,1048
518,1048
519,1048
520,1048
521,1049
522,1049
523,1049
524,1049
525,1049
526,1050
527,1050
528,1050
529,1050
530,1050
531,1050
532,1050
533,1051
534,1051
535,1060
536,1061
537,1061
538,1062
539,1062
540,1063
541,1064
542,1065
543,1066
544,1067
545,1068
546,1069
547,1070
548,1081
549,1082
550,1083
551,1083
552,1083
553,1083
554,1083
555,1084
556,1084
557,1084
558,1106
559,1107
560,1108
561,1109
562,1109
563,1109
564,1110
565,1110
566,1110
567,1111
568,1130
569,1131
570,1133
571,1134
572,1135
573,1136
574,1136
575,1136
576,1136
577,1137
578,1137
579,1137
580,1164
581,1165
582,1166
583,1166
584,1166
585,1167
586,1167
587,1167
588,1168
589,1168
590,1168
591,1169
592,1169
593,1169
594,1181
595,1182
596,1183
597,1183
598,1183
599,1184
600,1184
601,1184
602,1185
603,1185
604,1185
605,1185
606,1185
607,1185
608,1186
609,1186
610,1186
611,1199
612,1200
613,1200
614,1200
615,1200
616,1201
617,1202
618,1202
619,1203
620,1204
621,1205
622,1206
623,1206
624,1207
625,1207
626,1207
627,1223
628,1225
629,1226
630,1227
631,1227
632,1228
633,1229
634,1231
635,1232
636,1233
637,1234
638,1235
639,1236
640,1237
641,1248
642,1249
643,1250
644,1251
645,1252
646,1252
647,1253
648,1253
649,1253
650,1253
651,1254
652,1268
653,1268
654,1269
655,1271
656,1271
657,1271
658,1271
659,1272
660,1272
661,1272
662,1272
663,1273
664,1273
665,1273
666,1274
667,1274
668,1274
669,1274
670,1274
671,1275
672,1275
673,1275
674,1275
675,1275
676,1276
677,1276
678,1276
679,1276
680,1276
681,1276
682,1277
683,1277
684,1277
685,1277
686,1278
687,1278
688,1279
689,1280
690,1296
691,1297
692,1297
693,1297
694,1297
695,1297
696,1298
697,1298
698,1298
699,1299
700,1299
701,1299
702,1299
703,1300
704,1300
705,1300
706,1300
707,1300
708,1301
709,1301
710,1301
711,1301
712,1301
713,1302
714,1302
715,1302
716,1302
717,1303
718,1303
719,1303
720,1304
721,1304
722,1304
723,1304
724,1304
725,1305
726,1305
727,1306
728,1306
729,1306
730,1306
731,1306
732,1307
733,1307
734,1308
735,1310
736,1311
737,1311
738,1311
739,1312
740,1312
741,1312
742,1312
743,1312
744,1312
745,1313
746,1313
747,1313
748,1313
749,1313
750,1314
751,1314
752,1314
753,1314
754,1314
755,1314
756,1314
757,1315
758,1315
759,1316
760,1316
761,1316
762,1316
763,1317
764,1317
765,1317
766,1317
767,1318
768,1318
769,1318
770,1318
771,1318
772,1319
773,1319
774,1319
775,1319
776,1319
777,1319
778,1319
779,1320
780,1320
781,1320
782,1320
783,1321
784,1321
785,1322
786,1322
787,1322
788,1323
789,1323
790,1323
791,1323
792,1323
793,1323
794,1323
795,1326
796,1327
797,1327
798,1327
799,1327
800,1327
801,1327
802,1327
803,1327
804,1328
805,1328
806,1329
807,1329
808,1330
809,1330
810,1330
811,1330
812,1331
813,1331
814,1331
815,1331
816,1331
817,1332
818,1332
819,1332
820,1333
821,1333
822,1333
823,1333
824,1333
825,1333
826,1334
827,1334
828,1334
829,1334
830,1335
831,1335
832,1335
833,1335
834,1335
835,1335
836,1335
837,1336
838,1336
839,1336
840,1336
841,1336
842,1336
843,1336
844,1336
845,1337
846,1337
847,1337
848,1337
849,1337
850,1337
851,1338
852,1338
853,1338
854,1350
855,1351
856,1351
857,1351
858,1351
859,1351
860,1352
861,1352
862,1352
863,1352
864,1353
865,1353
866,1353
867,1353
868,1353
869,1353
870,1354
871,1354
872,1354
873,1354
874,1354
875,1354
876,1354
877,1355
878,1355
879,1355
880,1355
881,1355
882,1355
883,1355
884,1355
885,1356
886,1356
887,1356
888,1356
889,1356
890,1356
891,1356
892,1357
893,1357
894,1357
895,1358
896,1359
897,1361
898,1361
899,1361
900,1361
901,1362
902,1362
903,1362
904,1362
905,1362
906,1362
907,1363
908,1363
909,1364
910,1364
911,1364
912,1365
913,1365
914,1366
915,1366
916,1366
917,1367
918,1367
919,1367
920,1367
921,1367
922,1367
923,1367
924,1367
925,1368
926,1368
927,1368
928,1368
929,1368
930,1368
931,1369
932,1369
933,1369
934,1369
935,1369
936,1369
937,1369
938,1369
939,1370
940,1370
941,1370
942,1370
943,1370
944,1370
945,1370
946,1371
947,1371
948,1371
949,1371
950,1371
951,1371
952,1372
953,1372
954,1372
955,1372
956,1373
957,1373
958,1373
959,1373
960,1373
961,1373
962,1374
963,1374
964,1375
965,1377
966,1377
967,1378
968,1378
969,1378
970,1378
971,1378
972,1379
973,1379
974,1379
975,1380
976,1381
977,1381
978,1381
979,1381
980,1381
981,1382
982,1382
983,1382
984,1383
985,1383
986,1383
987,1384
988,1384
989,1384
990,1384
991,1384
992,1385
993,1385
994,1385
995,1385
996,1385
997,1385
998,1385
999,1386
1000,1386
1001,1386
1002,1387
1003,1387
1004,1387
1005,1387
1006,1387
1007,1387
1008,1388
1009,1388
1010,1388
1011,1388
1012,1388
1013,1388
1014,1388
1015,1388
1016,1388
1017,1389
1018,1389
1019,1389
1020,1389
1021,1389
1022,1389
1023,1389
1024,1389
1025,1390
1026,1390
1027,1390
1028,1390
1029,1390
1030,1390
1031,1391
1032,1391
1033,1391
1034,1392
1035,1405
1036,1405
1037,1406
1038,1406
1039,1406
1040,1406
1041,1406
1042,1406
1043,1406
1044,1406
1045,1406
1046,1406
1047,1407
1048,1407
1049,1407
1050,1407
1051,1407
1052,1407
1053,1407
1054,1407
1055,1407
1056,1408
